Node,Attributes,Type,Source,Target
209220AX01-JW51,{},Node,,
209220AS10-JW50,{},Node,,
209220CHB21M14-UE144,{},Node,,
209230CA21M4-UE150,{},Node,,
209230CR22M1-UE153,{},Node,,
209230CHB22M14-UE152,{},Node,,
209000AE02-JW208.X1,{},Node,,
209000AE02-JW210,{},Node,,
209210CHB21M14-UE134,{},Node,,
209210AX01-JW41,{},Node,,
209210CWP20-JX46,{},Node,,
209210Field-JW221,{},Node,,
209210AS10-JW40,{},Node,,
209210AX02-JW43,{},Node,,
209000AS02-JW39,{},Node,,
209230Field-JW223,{},Node,,
209230AX01-JW61,{},Node,,
209230CHB21M14-UE151,{},Node,,
209000AK02-JC32,{},Node,,
209000AK01-JW35,{},Node,,
209000AK03-JW36,{},Node,,
209000AS01-JW38,{},Node,,
209000AK04M4-UE142,{},Node,,
209000AK04M4-UE141,{},Node,,
209000AK04M1-UE143,{},Node,,
209230AS10-JW60,{},Node,,
209000AK03M4-UE132,{},Node,,
209000AK03M4-UE131,{},Node,,
209000AK03M1-UE133,{},Node,,
209220AS11-JW52,{},Node,,
209220CWP10-JX57,{},Node,,
209220AX02-JW53,{},Node,,
209220Field-JW222,{},Node,,
209220CWP10-JX54,{},Node,,
209220CWP10-JX55,{},Node,,
209220AS20-JW58,{},Node,,
209220CWP20-JX56,{},Node,,
211212AE1-JW200,{},Node,,
209210CWP10-JX44,{},Node,,
209210AS20-JW48,{},Node,,
209210CWP10-JX45,{},Node,,
209000AK04-JW37,{},Node,,
209000AK04M1-UE140,{},Node,,
209210AS11-JW42,{},Node,,
209220Field-JW232,{},Node,,
209000AE02-JW211,{},Node,,
PROFINET,{},Node,,
209000AE01-JC31,{},Node,,
209000AK03M1-UE130,{},Node,,
209000AK01E1-BE30,{},Node,,
209210CWP20-JX47,{},Node,,
209210Field-JW231,{},Node,,
P209000AE01-JC5,{},Node,,
,{'length': 100},Edge,209220AX01-JW51,209220AS10-JW50
,{'length': 50},Edge,209220AX01-JW51,209220CHB21M14-UE144
,{'length': 50},Edge,209220AS10-JW50,209220Field-JW222
,{'length': 50},Edge,209220CHB21M14-UE144,209220CWP10-JX54
,{'length': 50},Edge,209230CA21M4-UE150,209230CR22M1-UE153
,{'length': 50},Edge,209230CA21M4-UE150,209230CHB22M14-UE152
,{'length': 50},Edge,209230CR22M1-UE153,209230AS10-JW60
,{'length': 50},Edge,209230CHB22M14-UE152,209230CHB21M14-UE151
,{'length': 50},Edge,209000AE02-JW208.X1,209000AE02-JW210
,{'length': 50},Edge,209000AE02-JW210,209210Field-JW221
,{'length': 50},Edge,209000AE02-JW210,209000AS02-JW39
,{'length': 50},Edge,209000AE02-JW210,209230Field-JW223
,{'length': 50},Edge,209000AE02-JW210,209000AS01-JW38
,{'length': 50},Edge,209000AE02-JW210,211212AE1-JW200
,{'length': 50},Edge,209000AE02-JW210,PROFINET
,{'length': 50},Edge,209000AE02-JW210,209000AE01-JC31
,{'length': 50},Edge,209000AE02-JW210,209000AK01-JW35
,{'length': 50},Edge,209000AE02-JW210,209000AK03M1-UE130
,{'length': 50},Edge,209000AE02-JW210,209000AK04M1-UE140
,{'length': 50},Edge,209000AE02-JW210,209220Field-JW222
,{'length': 50},Edge,209000AE02-JW210,209000AK01E1-BE30
,{'length': 50},Edge,209000AE02-JW210,209000AE02-JW211
,{'length': 50},Edge,209000AE02-JW210,P209000AE01-JC5
,{'length': 50},Edge,209210CHB21M14-UE134,209210AX01-JW41
,{'length': 50},Edge,209210CHB21M14-UE134,209210CWP20-JX46
,{'length': 100},Edge,209210AX01-JW41,209210AS10-JW40
,{'length': 100},Edge,209210CWP20-JX46,209210CWP20-JX47
,{'length': 50},Edge,209210Field-JW221,209210AS10-JW40
,{'length': 50},Edge,209210Field-JW221,209210AX02-JW43
,{'length': 100},Edge,209210AX02-JW43,209210AS11-JW42
,{'length': 50},Edge,209230Field-JW223,209230AX01-JW61
,{'length': 50},Edge,209230Field-JW223,209230CHB21M14-UE151
,{'length': 100},Edge,209230AX01-JW61,209230AS10-JW60
,{'length': 100},Edge,209000AK02-JC32,209000AK01-JW35
,{'length': 100},Edge,209000AK02-JC32,209000AK03-JW36
,{'length': 100},Edge,209000AK03-JW36,209000AK04-JW37
,{'length': 50},Edge,209000AK04M4-UE142,209000AK04M4-UE141
,{'length': 50},Edge,209000AK04M4-UE142,209000AK04M1-UE143
,{'length': 50},Edge,209000AK04M4-UE141,209000AK04M1-UE140
,{'length': 50},Edge,209000AK03M4-UE132,209000AK03M4-UE131
,{'length': 50},Edge,209000AK03M4-UE132,209000AK03M1-UE133
,{'length': 50},Edge,209000AK03M4-UE131,209000AK03M1-UE130
,{'length': 100},Edge,209220AS11-JW52,209220CWP10-JX57
,{'length': 100},Edge,209220AS11-JW52,209220AX02-JW53
,{'length': 100},Edge,209220CWP10-JX57,209220CWP20-JX56
,{'length': 50},Edge,209220AX02-JW53,209220Field-JW222
,{'length': 100},Edge,209220CWP10-JX54,209220CWP10-JX55
,{'length': 100},Edge,209220CWP10-JX55,209220AS20-JW58
,{'length': 100},Edge,209220AS20-JW58,209220CWP20-JX56
,{'length': 100},Edge,209210CWP10-JX44,209210AS20-JW48
,{'length': 100},Edge,209210CWP10-JX44,209210CWP10-JX45
,{'length': 100},Edge,209210AS20-JW48,209210CWP20-JX47
,{'length': 100},Edge,209210CWP10-JX45,209210AS11-JW42
,{'length': 50},Edge,209220Field-JW232,209000AE02-JW211
,{'length': 50},Edge,209000AE02-JW211,209210Field-JW231
